master_incident_number,problem,priority_number,year,time_phonepickup,cfs_address,cfs_location_name,call_disposition,short_school_name,cde_school_name,school_type_level,lowest_grade,highest_grade,school_address
DPD-22-0198008,Stabbing,1,2022,4/21/2022 12:00,2960 N Speer Blvd,North High School - Box 4133,In Service,North,North High School,HIGH SCHOOL,9,13,2960 N SPEER BLVD
DPD-22-0444181,Suicidal Person / Suicide,1,2022,8/29/2022 9:57,2960 N Speer Blvd,North High School,No Police Needed,North,North High School,HIGH SCHOOL,9,13,2960 N SPEER BLVD
DPD-23-0119548,Suicidal Person / Suicide,1,2023,3/7/2023 12:14,2960 N Speer Blvd,North High School - Box 4133,File Only,North,North High School,HIGH SCHOOL,9,13,2960 N SPEER BLVD
DPD-23-0150778,Suicidal Person / Suicide,1,2023,3/23/2023 9:55,2960 N Speer Blvd,North High School - PKLT OFF OF 32ND,Back Up / Cover Car,North,North High School,HIGH SCHOOL,9,13,2960 N SPEER BLVD
DPD-18-0588385,Help,0,2018,8/28/2018 15:45,5000 N Crown Blvd,MONTBELLO HIGH SCHOOL,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0501499,Help,0,2021,8/31/2021 15:59,5000 N Crown Blvd,,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0057888,Fight,2,2018,1/24/2018 19:58,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0161627,Fight,2,2018,3/9/2018 14:06,5000 N Crown Blvd,SCH Montbello High School - Box 1112,In Service,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0175960,Nature Unknown,2,2018,3/15/2018 17:33,5000 N Crown Blvd,NEAR TENNIS COURTS,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0236823,Assault  IP-JO,2,2018,4/9/2018 18:41,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0255472,Nature Unknown,2,2018,4/17/2018 2:04,5000 N Crown Blvd,SCH Montbello High School -,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0257188,E 25 Psych/Ab Beh/Suicide Att,2,2018,4/17/2018 16:26,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO MS - DPS,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0374279,Shots Heard / Fired,2,2018,6/4/2018 0:05,5000 N Crown Blvd,SCH Montbello High School - Box 1112,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0531634,Fight,2,2018,8/5/2018 15:20,5000 N CROWN BLVD,SCH Montbello High School - Box 1112,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0568670,MPER - Endangered/WalkAway/Esc,2,2018,8/20/2018 15:58,5000 N Crown Blvd,MONTBELLO HS - DPS,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0605671,MPER - Endangered/WalkAway/Esc,2,2018,9/4/2018 15:40,5000 N Crown Blvd,SCH Montbello High School,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0639072,Fight,2,2018,9/17/2018 15:28,5000 N Crown Blvd,SCH Montbello High School,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0721406,EMS request PD,2,2018,10/21/2018 17:59,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS -- FOOTBALL FIELD,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0746528,Mental Health,2,2018,11/1/2018 10:13,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0765592,Threats IP-JO,2,2018,11/9/2018 11:18,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0772842,Shots Heard / Fired,2,2018,11/12/2018 20:07,5000 N Crown Blvd,SCH Montbello High School - IFO,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0781106,Disturbance Family,2,2018,11/16/2018 8:23,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO MS - DPS - MAIN ENTRY,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0070016,E 25 Psych/Ab Beh/Suicide Att,2,2019,1/31/2019 14:00,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO - DPS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0134078,Threats IP-JO,2,2019,3/1/2019 10:47,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0178198,Disturbance Family,2,2019,3/21/2019 9:04,5000 N Crown Blvd,DCIS  AT MONTBELLO HS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0228440,Fight,2,2019,4/12/2019 15:33,5000 N Crown Blvd,,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0268628,Disturbance Family,2,2019,4/30/2019 8:23,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO MS - DPS,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0283520,Fight,2,2019,5/6/2019 10:55,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,T - Citation Issued,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0286545,Assault  IP-JO,2,2019,5/7/2019 15:37,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO - DPS,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0323583,Fight,2,2019,5/24/2019 11:35,5000 N Crown Blvd,DCIS  AT MONTBELLO HS - MAIN OFFICE,Arrest Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0342430,Shots Heard / Fired,2,2019,6/1/2019 18:39,5000 N Crown Blvd,SCH Montbello High School,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0572628,F9 With Fire,2,2019,9/7/2019 21:16,5000 N CROWN BLVD,SCH Montbello High School - Box 1112,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0591421,Shots Heard / Fired,2,2019,9/15/2019 23:24,5000 N Crown Blvd,SCH Montbello High School,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0658296,Fight,2,2019,10/14/2019 15:36,5000 N Crown Blvd,IN PARK BEHIND SCHOOL,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0658815,Threats IP-JO,2,2019,10/14/2019 19:07,5000 N Crown Blvd,SCH Montbello High School- BACK OF SCHOOL,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0696501,Threats IP-JO,2,2019,11/1/2019 10:32,5000 N Crown Blvd,Montbello High School,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0725303,Threats IP-JO,2,2019,11/14/2019 9:50,5000 N Crown Blvd,SCH NOEL COMMUNITY ARTS SCHOOL - DPS,K - Street Check Completed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0778214,Assault  IP-JO,2,2019,12/10/2019 8:34,5000 N Crown Blvd,SCH Montbello High School,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-20-0140124,E 25 Psych/Ab Beh/Suicide Att,2,2020,3/4/2020 14:37,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO - DPS,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-20-0202858,Disturbance Family,2,2020,4/3/2020 20:42,5000 N Crown Blvd,ON THE CROWN SIDE OF SCHOOL,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-20-0385819,Slumper - Person in Vehicle,2,2020,6/25/2020 5:00,5000 N Crown Blvd,JSO MONTBELLO HS,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-20-0443118,Shots Heard / Fired,2,2020,7/21/2020 23:58,5000 N Crown Blvd,SCH Montbello High School - Box 1112,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0122486,Fight,2,2021,3/1/2021 19:59,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0138993,Mental Health,2,2021,3/9/2021 11:34,5000 N Crown Blvd,,Message Left,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0158477,Fight,2,2021,3/19/2021 16:24,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0232273,EMS request PD,2,2021,4/25/2021 10:11,5000 N Crown Blvd,Montbello High School - FOOTBALL FIELD,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0232764,EMS request PD,2,2021,4/25/2021 15:03,5000 N Crown Blvd,SCH Montbello High School -FOOTBALL FIELD,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0277761,Threats IP-JO,2,2021,5/17/2021 11:31,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0326599,Knock and Talk,2,2021,6/9/2021 13:16,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0426089,Weapon / Concealed Weapon,2,2021,7/26/2021 18:20,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0449226,Assault  IP-JO,2,2021,8/6/2021 18:56,5000 N CROWN BLVD,PK LOT - MONTBELLO HIGH SCHOOL,K - Street Check Completed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0505922,Fight,2,2021,9/2/2021 16:01,5000 N CROWN BLVD,SCH Montbello High School,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0511312,Slumper - Person in Vehicle,2,2021,9/5/2021 1:51,5000 N Crown Blvd,SCH Montbello High School - Box 1112,K - Street Check Completed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0517873,Fight,2,2021,9/8/2021 12:58,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO MS - DPS,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0519063,Nature Unknown,2,2021,9/9/2021 1:23,5000 N Crown Blvd,MONTBELLO HIGH SCHOOL,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0522774,Shots Heard / Fired,2,2021,9/10/2021 17:27,5000 N Crown Blvd,SCH Montbello High School - Box 1112,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0581847,Weapon / Concealed Weapon,2,2021,10/10/2021 18:05,5000 N Crown Blvd,Montbello High School,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0592420,EMS request PD,2,2021,10/16/2021 9:51,5000 N Crown Blvd,SCH Montbello High School - FOOTBALL FIELD,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0622553,Weapon / Concealed Weapon,2,2021,11/1/2021 15:51,5000 N Crown Blvd,Montbello High School MAIN ENTRANCE,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0639730,Fight,2,2021,11/10/2021 19:20,5000 N Crown Blvd,SCH Montbello High School - PARKING LOT,GOA,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0654937,911 Open,2,2021,11/18/2021 16:21,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO - DPS,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0686988,Threats IP-JO,2,2021,12/6/2021 13:25,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO - DPS,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0701289,Assault  IP-JO,2,2021,12/14/2021 13:38,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0701295,Fight,2,2021,12/14/2021 13:41,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO MS - DPS,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0017933,Fight,2,2022,1/12/2022 11:37,5000 N Crown Blvd,Montbello High School,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0031934,Assault  IP-JO,2,2022,1/20/2022 11:23,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO - DPS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0046398,Fight,2,2022,1/28/2022 16:25,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - UNIT B,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0065798,Assault  IP-JO,2,2022,2/8/2022 15:59,5000 N CROWN BLVD,Montbello High School,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0084065,Disturbance Family,2,2022,2/18/2022 12:12,5000 N Crown Blvd,SCH NOEL COMMUNITY ARTS SCHOOL - DPS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0106867,911 Open,2,2022,3/3/2022 8:44,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO - DPS,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0171429,Fight,2,2022,4/7/2022 13:14,5000 N Crown Blvd,NEAR PLAYGROUND- MONTBELLO CENTRAL PARL,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0219118,911 Open,2,2022,5/2/2022 13:52,5000 N Crown Blvd,SCH Montbello High School,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0219329,Fight,2,2022,5/2/2022 16:03,5000 N Crown Blvd,SCH Montbello High School - Box 1112,K - Street Check Completed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0220552,911 Open,2,2022,5/3/2022 11:08,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0375090,Threats IP-JO,2,2022,7/23/2022 19:38,5000 N Crown Blvd,FOOTBALL FIELD - SCH Montbello High School - Box 1112,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0473216,Shots Heard / Fired,2,2022,9/13/2022 13:51,5000 N Crown Blvd,SCH Montbello High School,In Service,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0473217,Shots Heard / Fired,2,2022,9/13/2022 13:51,5000 N Crown Blvd,,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0485861,Weapon / Concealed Weapon,2,2022,9/20/2022 11:50,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Arrest Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0569237,Fight,2,2022,11/3/2022 12:18,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0577842,Assault  IP-JO,2,2022,11/8/2022 9:51,5000 N Crown Blvd,Montbello High School,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-23-0079482,F9 With Fire,2,2023,2/13/2023 11:24,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-23-0137629,Weapon / Concealed Weapon,2,2023,3/16/2023 12:33,5000 N Crown Blvd,DCIS  AT MONTBELLO MS - DPS,Arrest Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0110091,Weapon / Concealed Weapon,1,2018,2/15/2018 12:34,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0186524,Accident With Injury,1,2018,3/20/2018 8:29,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO MS - DPS,In Service,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0236319,Weapon / Concealed Weapon,1,2018,4/9/2018 15:11,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0651383,Shot Spotter,1,2018,9/22/2018 6:09,5000 N Crown Blvd,,K - Street Check Completed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0651384,Shot Spotter,1,2018,9/22/2018 6:09,5000 N Crown Blvd,,In Service,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0680215,Shot Spotter,1,2018,10/3/2018 23:25,5000 N Crown Blvd,,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0782640,Shot Spotter,1,2018,11/16/2018 20:20,5000 N Crown Blvd,,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0833602,Suicidal Person / Suicide,1,2018,12/10/2018 11:39,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS - DPS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-18-0840517,Accident With Injury,1,2018,12/13/2018 7:51,5000 N Crown Blvd,IFO MONTBELLO HIGH SCHOOL,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0022075,Kidnap IP-JO,1,2019,1/10/2019 15:30,5000 N Crown Blvd,SCH STRIVE PREP: MONTBELLO,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0171752,Weapon / Concealed Weapon,1,2019,3/18/2019 14:56,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0290013,Accident With Injury,1,2019,5/9/2019 7:44,5000 N Crown Blvd,DCIS  AT MONTBELLO HS - OUTSIDE,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0621244,Burglary  IP-JO,1,2019,9/28/2019 6:59,5000 N Crown Blvd,SCH Montbello High School - Box 1112,UTL / Unfounded / Unsuccessful,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0626888,Suicidal Person / Suicide,1,2019,9/30/2019 15:59,5000 N Crown Blvd,DCIS AT MONTBELLO HS,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0646663,Weapon / Concealed Weapon,1,2019,10/9/2019 10:47,5000 N Crown Blvd,,Arrest Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0678362,Accident With Injury,1,2019,10/23/2019 12:18,5000 N Crown Blvd,SCH Montbello High School - IFO,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0710603,Suicidal Person / Suicide,1,2019,11/7/2019 15:04,5000 N Crown Blvd,NOEL COMMUNITY ARTS SCHOOL - DPS,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0721140,Shooting,1,2019,11/12/2019 14:10,5000 N Crown Blvd,NOEL COMMUNITY ARTS SCHOOL,No Police Needed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-19-0726664,Robbery IP-JO,1,2019,11/14/2019 19:33,5000 N Crown Blvd,Montbello High School - FOOTBALL FIELD,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-20-0153806,Suicidal Person / Suicide,1,2020,3/10/2020 16:13,5000 N Crown Blvd,SCH Montbello High School STUDENT HEALTH CENTER,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-20-0360226,Burglary  IP-JO,1,2020,6/12/2020 19:35,5000 N Crown Blvd,SCH Montbello High School - Box 1112,K - Street Check Completed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-20-0501430,Domestic Violence IP-JO,1,2020,8/18/2020 23:24,5000 N CROWN BLVD,Montbello High School - BASEBALL FIELD,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0078730,Suicidal Person / Suicide,1,2021,2/8/2021 12:57,5000 N Crown Blvd,SCH NOEL COMMUNITY ARTS SCHOOL - DPS,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0174164,Domestic Violence IP-JO,1,2021,3/27/2021 9:23,5000 N Crown Blvd,Montbello High School,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0202139,Suicidal Person / Suicide,1,2021,4/9/2021 17:33,5000 N Crown Blvd,SCH Montbello High School,K - Street Check Completed,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0542383,Suicidal Person / Suicide,1,2021,9/20/2021 15:20,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO MS,Party Advised,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-21-0619807,Shot Spotter,1,2021,10/31/2021 1:46,5000 N Crown Blvd,,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0113104,Shot Spotter,1,2022,3/6/2022 18:13,5000 N Crown Blvd,,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0431984,Shot Spotter,1,2022,8/23/2022 0:07,5000 N Crown Blvd,,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0431985,Shot Spotter,1,2022,8/23/2022 0:07,5000 N Crown Blvd,,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0471549,Suicidal Person / Suicide,1,2022,9/12/2022 16:36,5000 N Crown Blvd,SCH DCIS  AT MONTBELLO HS OFFICE,Report Made,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0591755,Suicidal Person / Suicide,1,2022,11/16/2022 11:24,5000 N CROWN BLVD,SCH Montbello High School,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0610174,Shot Spotter,1,2022,11/27/2022 20:11,5000 N Crown Blvd,,File Only,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
DPD-22-0610175,Shot Spotter,1,2022,11/27/2022 20:11,5000 N Crown Blvd,SCH Montbello High School - Box 1112,Back Up / Cover Car,DCIS Montbello HS,DCIS at Montbello,HIGH SCHOOL,9,13,5000 CROWN BLVD
